window,odds_ratio,p_value,win_start,win_end
win_12,0.9430241688198793,1.0,110001,120000.0
win_20,1.0072951850109881,0.6774267559673635,190001,200000.0
win_21,1.2573660692966475,0.563990856137955,200001,210000.0
win_22,1.070460190263981,0.8573968742698703,210001,220000.0
win_23,0.37189628514308487,0.2454628744543509,220001,230000.0
win_24,1.2859440665120654,0.3641771714649117,230001,240000.0
win_25,1.2573658314154288,0.6750847234666294,240001,250000.0
win_26,2.4754405578747574,0.14575953161208666,250001,260000.0
win_27,1.2985915229178906,0.4735402793066952,260001,270000.0
win_28,0.0,1.0,270001,280000.0
win_29,0.0,1.0,280001,290000.0
win_30,1.5634371933638491,0.19985207210257738,290001,300000.0
win_31,1.178780657051867,0.6181908362040787,300001,310000.0
win_32,0.0,1.0,310001,320000.0
win_33,0.904532998621499,6.643152935622726e-08,320001,330000.0
win_34,0.6601166224547328,0.7676130318529071,330001,340000.0
win_35,1.0000109287932082,0.9952899236440785,340001,350000.0
win_36,1.0001895938588674,0.9858699692919097,350001,360000.0
win_37,1.0073668455223097,0.5714987288645492,360001,370000.0
win_38,1.6502929425737816,0.3649990946409816,370001,380000.0
win_39,0.0,1.0,380001,390000.0
win_40,0.8801558600888583,1.0,390001,400000.0
win_41,1.164912698350561,0.6485845938587546,400001,410000.0
win_42,1.288033579488866,0.556724572696073,410001,420000.0
win_43,0.9363357860706374,1.0,420001,430000.0
win_44,1.0025814250677962,0.8166630706818305,430001,440000.0
win_45,0.9961261524233379,0.721047077867486,440001,450000.0
win_46,1.0493999883166882,0.5851144047216337,450001,460000.0
win_47,1.015564546627233,1.0,460001,470000.0
win_48,0.889209025101611,0.35484018010162066,470001,480000.0
win_49,0.0,1.0,480001,490000.0
win_50,1.1201061562230492,0.20551979333268344,490001,500000.0
win_51,2.4004265184215456,0.2318036254123676,500001,510000.0
win_52,0.4605459520391257,0.21551073850970806,510001,520000.0
win_53,1.0481885985428128,0.6102723497624307,520001,530000.0
win_54,0.7334631397164758,1.0,530001,540000.0
win_55,1.0465271302461223,0.8826521985140408,540001,550000.0
win_56,1.3202341692007653,0.6656710511082881,550001,560000.0
win_57,2.640468504557447,0.3547232576977328,560001,570000.0
win_58,6.601174543169025,0.061467554479763375,570001,580000.0
win_59,0.7041209036843002,0.08006811141187478,580001,590000.0
win_60,0.5888330936568581,0.020157992156865825,590001,600000.0
win_61,1.141979827747073,0.2470010871516386,600001,610000.0
win_62,0.9779509968139336,1.0,610001,620000.0
win_63,6.601174543169025,0.061467554479763375,620001,630000.0
win_64,1.5088396528728387,0.3518693052341563,630001,640000.0
win_65,1.0001324314804365,0.9914829028624725,640001,650000.0
win_66,0.526685764065421,0.009988910701647638,650001,660000.0
win_67,0.7151249698255869,0.2694658564762087,660001,670000.0
win_68,0.9933133290575188,0.5591694708194022,670001,680000.0
win_69,0.0,1.0,680001,690000.0
win_70,0.7616730579662091,1.0,690001,700000.0
win_71,1.1451019483865559,0.5907367315455672,700001,710000.0
win_72,1.9803535282112712,0.13708115544359178,710001,720000.0
win_73,0.6601167795302846,1.0,720001,730000.0
win_74,1.4568131689541803,0.16278797190230992,730001,740000.0
win_75,0.40006726634150774,0.0002612226004997295,740001,750000.0
win_76,1.3202340212060055,0.5520794451013531,750001,760000.0
win_77,1.0149266810924427,0.7187959341197226,760001,770000.0
win_78,0.9281767641858456,0.4358909810349223,770001,780000.0
win_79,0.8902419901664503,0.18112985936665796,780001,790000.0
win_80,1.1333817078624262,0.4689792388142934,790001,800000.0
win_81,2.640468504557447,0.3547232576977328,800001,810000.0
win_82,0.7766080574730589,1.0,810001,820000.0
win_83,3.300585746233168,0.3058473075420577,820001,830000.0
win_84,0.0,1.0,830001,840000.0
win_85,0.0,1.0,840001,850000.0
win_86,0.46733843947764014,0.1477300191035939,850001,860000.0
win_87,0.0,1.0,860001,870000.0
win_88,0.0,1.0,870001,880000.0
win_89,1.5040660027554382,0.2143051915663586,880001,890000.0
win_90,0.7136346377702485,0.03558646179258941,890001,900000.0
win_91,0.5740145306160601,1.0,900001,910000.0
win_92,1.466926741578388,0.5181520696467068,910001,920000.0
win_93,0.5328278711882505,0.07053812832701273,920001,930000.0
win_94,0.0,1.0,930001,940000.0
win_95,0.0,0.3966622094006631,940001,950000.0
win_96,1.2002127045376927,0.5836179640242266,950001,960000.0
win_97,1.1606481329734413,0.37871360786550146,960001,970000.0
win_98,0.0,1.0,970001,980000.0
win_99,1.288033579488866,0.556724572696073,980001,990000.0
win_100,0.0,1.0,990001,1000000.0
win_101,0.9430241688198793,1.0,1000001,1010000.0
