win_num,win_start,win_end,CNVs,unique_count_groupA,unique_count_not_groupA
12,110001,120000.0,[115593],1,14
20,190001,200000.0,"[191810, 192307]",3462,45376
21,200001,210000.0,"[202780, 203717, 206403, 208706, 209280]",4,42
22,210001,220000.0,"[209280, 214493, 214968, 217217]",9,111
23,220001,230000.0,"[214968, 217217, 221038, 227508, 228333]",2,71
24,230001,240000.0,"[227508, 228333, 232297, 232311, 233932, 234658]",15,154
25,240001,250000.0,"[232311, 245642, 247964, 248512]",2,21
26,250001,260000.0,"[254772, 258644, 259673]",3,16
27,260001,270000.0,"[254772, 258644, 261365, 262388, 262776, 268699, 268713, 268974]",6,61
28,270001,280000.0,"[261365, 268699, 272876, 276131]",0,7
29,280001,290000.0,"[261365, 272876, 276131, 286774, 288546]",0,8
30,290001,300000.0,"[261365, 276131, 291329, 291417, 292021, 294475, 295388, 298156, 299090, 299247]",9,76
31,300001,310000.0,"[261365, 276131, 298156, 299090, 300761, 300777, 300962, 301392, 301825, 301947, 302175, 303383, 309201]",5,56
32,310001,320000.0,"[261365, 276131, 315449]",0,6
33,320001,330000.0,"[261365, 276131, 326317, 329073]",3029,44204
34,330001,340000.0,"[276131, 329073, 331127, 335359, 335373, 338269]",2,40
35,340001,350000.0,"[276131, 329073, 343094, 344243, 344761, 348698, 349858]",7745,102251
36,350001,360000.0,"[348698, 349858, 353408, 355982, 359507]",7746,102246
37,360001,370000.0,"[359507, 360446, 363171, 363211, 364641, 366382, 368960, 369698, 369727]",6420,84141
38,370001,380000.0,"[366382, 369727, 375361, 375996, 376358, 378059]",2,16
39,380001,390000.0,"[366382, 375996, 386079, 387518, 389424]",0,9
40,390001,400000.0,"[366382, 375996, 389424, 391226, 392228, 392984, 393380, 395544]",1,15
41,400001,410000.0,"[366382, 375996, 389424, 391226, 400766, 407012, 408351, 409332, 409333]",6,68
42,410001,420000.0,"[375996, 389424, 409332, 409333, 413509, 413771]",4,41
43,420001,430000.0,"[375996, 389424, 409332, 421358, 427145, 429311]",10,141
44,430001,440000.0,"[375996, 427145, 433484, 434566, 435548, 437942, 438571, 439144]",8464,111458
45,440001,450000.0,"[427145, 439144, 440635, 442403, 443229, 444222, 449058]",9477,125603
46,450001,460000.0,"[439144, 450348, 452068, 452433, 454943, 457701, 457928]",136,1711
47,460001,470000.0,"[439144, 464426, 468760]",4,52
48,470001,480000.0,"[471568, 473573, 474914, 475655, 479281]",72,1069
49,480001,490000.0,"[483483, 486675, 487108, 488342, 489244, 489558]",0,10
50,490001,500000.0,"[486675, 490725, 492101, 493866, 494028, 494821, 497092]",136,1603
51,500001,510000.0,"[500841, 500919, 504005, 506970, 508014, 509676]",2,11
52,510001,520000.0,"[506970, 509676, 510340, 511192, 512111, 512497, 514058, 515424, 517310, 517496, 518866]",3,86
53,520001,530000.0,"[521653, 522650, 524268, 525179, 526146, 528163, 528649]",131,1650
54,530001,540000.0,"[522650, 528649, 539331]",1,18
55,540001,550000.0,"[522650, 545502, 546228, 546307, 546452, 546957, 547598, 548321]",13,164
56,550001,560000.0,"[522650, 551772, 555106, 555397, 555814, 558072]",2,20
57,560001,570000.0,"[522650, 561828, 561930, 563043, 564582]",1,5
58,570001,580000.0,"[522650, 564582, 570725, 575724]",2,4
59,580001,590000.0,"[522650, 581256, 584921, 589964]",28,525
60,590001,600000.0,"[522650, 589964, 597108, 599768]",19,426
61,600001,610000.0,"[522650, 602192, 609739]",82,948
62,610001,620000.0,"[522650, 611796, 612878, 617814, 618743]",2,27
63,620001,630000.0,"[522650, 618743, 620591, 621971]",2,4
64,630001,640000.0,"[522650, 630071, 631143, 632144, 632405, 632931, 636807, 637274, 638500, 639404, 639662]",4,35
65,640001,650000.0,"[522650, 631143, 638500, 639662, 640003, 640226, 643051, 643064, 643212, 643241, 644802, 644884, 644998, 646152]",2363,31193
66,650001,660000.0,"[522650, 638500, 640226, 643212, 643241, 644802, 644884, 651605, 654226, 654445, 657123, 659685]",15,376
67,660001,670000.0,"[522650, 638500, 643241, 644802, 659685, 662188, 663617, 666846, 668864, 668912]",13,240
68,670001,680000.0,"[522650, 638500, 643241, 668864, 668912, 670169, 677316]",8344,110899
69,680001,690000.0,[638500],0,1
70,690001,700000.0,"[638500, 692590, 694255, 694983, 699062]",3,52
71,700001,710000.0,"[638500, 700706, 701354, 701381, 705983, 707987]",17,196
72,710001,720000.0,"[707987, 711131, 712784, 713496, 713675, 713881, 716413, 719094]",6,40
73,720001,730000.0,"[707987, 716413, 719094, 727801, 728776, 729430]",1,20
74,730001,740000.0,"[716413, 719094, 729430, 730314, 731107, 731767, 732128, 732914, 737158, 737458]",16,145
75,740001,750000.0,"[716413, 719094, 732128, 732914, 737158, 740223, 744274, 747756, 749186]",13,429
76,750001,760000.0,"[716413, 749186]",1,10
77,760001,770000.0,"[716413, 760483, 762360, 763165, 764433]",608,7909
78,770001,780000.0,"[716413, 770069, 773292, 775884, 779920]",134,1906
79,780001,790000.0,"[716413, 779920, 780912, 785676, 786608]",147,2180
80,790001,800000.0,"[716413, 790833, 793714, 795296, 798728]",37,431
81,800001,810000.0,"[716413, 798728, 805836, 805848, 806027]",1,5
82,810001,820000.0,"[716413, 811768, 815880, 817419]",1,17
83,820001,830000.0,"[826558, 826637]",1,4
84,830001,840000.0,[834406],0,1
85,840001,850000.0,[849761],0,2
86,850001,860000.0,"[850081, 851944, 854087, 855233, 856329, 857000, 858453]",4,113
87,860001,870000.0,[857000],0,4
88,870001,880000.0,[874238],0,1
89,880001,890000.0,"[882431, 883488, 883981, 886363, 886411, 888811, 889922]",9,79
90,890001,900000.0,"[889922, 896082, 897288, 897435, 897832]",40,740
91,900001,910000.0,"[905564, 905908, 906786, 909142]",1,23
92,910001,920000.0,"[909142, 911716, 912928, 915579, 916184]",1,9
93,920001,930000.0,"[921275, 921427]",9,223
94,930001,940000.0,"[921275, 930060, 931877]",0,7
95,940001,950000.0,"[944489, 945030, 946208, 949072]",0,21
96,950001,960000.0,"[946208, 949072, 952672]",1,11
